#ID;TITLE;DISCOUNT PRICE;FULL PRICE;STARS
250593477;Колесо судьбы Книги фэнтези Издательство Феникс;345;858;5.0
311475000;Первый дракон Эксмо;347;535;5.0
132773953;Волшебная экспресс-доставка. Получатель с глубин Издательство АСТ;350;1541;4.9
216349908;Любимая адептка его величества. Книга 2 Эксмо;351;541;5.0
160736129;Вода в решете. Апокриф колдуньи Издательство АСТ;351;1590;4.9
28358467;Фэнтези. Круэлла Эксмо;352;542;4.9
33644541;Ворриор и Пиас. Гнев богов (#2) Эксмо;353;544;5.0
12027771;Самое сильное заклятье Эксмо;353;543;5.0
167740625;Песнь Отмеченной (#1) Эксмо;356;548;4.9
196130296;Министерство мертвых. Невозможная принцесса Эксмо;357;550;5.0
9525413;Жажда Власти 2 Издательство АСТ;360;1541;5.0
228638656;Убийство Ледяного Короля Эксмо;361;555;5.0
249233028;Огромный. Злой. Зеленый Эксмо;361;556;4.9
7562693;Алмазный век Эксмо;362;557;5.0
232762221;Любимая адептка его величества. Книга 3 Эксмо;364;560;5.0
228639475;Месть магов (#3) Эксмо;365;562;4.9
461799241;Ледяная колыбель (Павшая луна #2) Эксмо;366;563;4.9
9325545;Последний из рода Корто Издательство АСТ;368;1155;5.0
198219052;Манящая корона. Фантастика Издательство Феникс;369;1482;4.9
322180334;Дракула. Брэм Стокер. Книги романы, книги классика, фэнтези CLEVER Издательство;370;1560;4.9
122291108;Легенда о Великой волне Издательство АСТ;370;1628;4.9
216992096;Развод по-драконьи Эксмо;372;572;4.8
415381952;Сверхкомплектные звенья Книги фантастика Издательство Феникс;375;1622;5.0
197229373;Дом железных воронов (#1) Эксмо;377;579;5.0
164597594;Серафим (#2) Эксмо;377;579;5.0
198219054;Первый советник короля. Фантастика Издательство Феникс;377;1247;5.0
242507735;Охота на попаданку Бракованная жена Фэнтези книги Издательство Феникс;378;923;4.9
29608922;Королева Солнца Азбука;379;1819;5.0
167672572;Боец с планеты Земля Издательство АСТ;380;1192;5.0
7495858;Фэнтези. Ночные тетради Эксмо;382;587;4.9
12529487;Поллукс Издательство АСТ;383;1155;5.0
96183386;Семья Издательство АСТ;383;1155;5.0
185686901;"Проект ""Аве Мария"" Издательство АСТ";385;845;4.9
175894937;Эхо Миштар. Вершины и пропасти Эксмо;385;591;5.0
201637138;Золотые земли. Совиная башня Эксмо;385;592;4.9
1933102;Книга Зерцалия. 6. Пантеон Фантастика и фэнтези для детей РОСМЭН;385;764;5.0
179894600;Колледж волшебства Власть памяти Фэнтези книги Издательство Феникс;387;946;4.9
120774440;Фэнтези. Книга Ночи (#1) Эксмо;387;595;4.9
346304951;Проводник Издательство АСТ;388;1193;5.0
379387163;Чудовищnet Эксмо;389;598;5.0
165151668;Звёздные войны Тень ситхов Эксмо;390;599;4.9
108766287;Пылающий бог Эксмо;391;600;5.0
262935552;Ковен избранных Эксмо;392;602;5.0
234241746;Фейри-убийца (#2) Эксмо;392;602;5.0
205518784;Академия Горгулий. Тайна ректора Эксмо;392;602;4.9
156124585;Звёздные войны Траун. Последний приказ Эксмо;392;602;4.9
459985601;Дверь во тьме Эксмо;392;602;5.0
264612579;Поймать Бевиса Броза! Эксмо;392;602;5.0
40501837;Звёздные войны Расцвет Республики. Свет джедаев Эксмо;392;602;5.0
370772039;Семь предсказаний Вероники Эксмо;392;602;4.9
163270009;Звёздные войны Сокол тысячелетия Эксмо;392;602;4.9
177689824;Серебряная река Эксмо;392;602;5.0
36618889;Вселенная Анимант Крамб. Лондонские хроники (#2) Эксмо;392;602;4.9
475646180;Ловец кошмаров Эксмо;392;602;5.0
54336844;Звёздные войны Расцвет Республики. Во тьму Эксмо;392;602;5.0
176065026;Хранительница болот Эксмо;392;602;5.0
246775183;Книга фэнтези Дочь Лунной богини МИФ;392;2643;5.0
180516331;Кодекс Алеры. Книга 1. Фурии Кальдерона Азбука;393;2159;4.9
197228992;Пятый мир Эксмо;395;608;4.9
4895470;Дозор навсегда. Лучшая фантастика Издательство АСТ;395;1242;5.0
95577911;Дюна Издательство АСТ;397;874;4.9
141124095;Убежище (#2) Эксмо;398;613;5.0
9325421;Звездный попаданец Издательство АСТ;398;1155;5.0
368774081;Хозяйка ворон и железный доктор Эксмо;405;624;5.0
214877631;Старплекс Эксмо;405;624;5.0
230794395;Звездокрыл Маргарита Блинова Фэнтези книга Эксмо;407;626;5.0
218632394;Таэ эккейр! Эксмо;407;626;4.9
401772829;Альма Френг и солнцеловы.Молодежная литература Издательство АСТ;408;1280;5.0
463423398;Хозяин гиблого места Эксмо;409;630;5.0
17636236;Отрок. Перелом Издательство АСТ;410;2175;5.0
343094660;Пушистая катастрофа Огинская Купава Фантастика Эксмо;413;635;4.9
2350238;Таня Гроттер и Исчезающий Этаж (#2) Эксмо;414;637;5.0
26477124;Иржина. Всё не так, как кажется Эксмо;416;640;5.0
162683015;Проблема с миром Эксмо;417;642;4.8
229231701;Сто лет тому вперед Издательство АСТ;424;932;5.0
196491938;Кочующий портал Издательство АСТ;424;932;4.9
168567140;Башня Зеленого Ангела. Том 1 Эксмо;426;655;4.9
255307667;Крикса Эксмо;432;664;4.9
343094064;Фейри-убийца (#2) Эксмо;432;664;5.0
150677092;Немного ненависти Эксмо;436;670;4.9
231024057;Некромант-одиночка. Новелла. Том 2 Эксмо;448;690;5.0
333121945;Дочь глубин Эксмо;454;698;5.0
45717301;Фэнтези. Перси Джексон и похититель молний Эксмо;460;707;5.0
287685054;Наваждение генерала драконов Эксмо;462;711;5.0
275463847;Даха Тараторина. Аир. Хозяин болота. Книги романы, фэнтези Издательство CLEVER;463;1500;4.9
520731353;Пегас, лев и кентавр (#1) Эксмо;464;714;5.0
256593675;Лезвие бритвы Эксмо;464;713;5.0
232768300;Дым и железо Эксмо;465;715;5.0
5939348;Красная страна Эксмо;467;718;5.0
102329464;Создавая драконов Эксмо;467;718;4.9
125960961;Таня Гроттер и Золотая Пиявка (#3) Эксмо;479;736;5.0
